Clavage	N	Type	abundance	gen_length	subject_id
True	41	D right	65	30	IGHD3-10
True	41	J	65	48	IGHJ4
False	42	V	43	296	IGHV3-74
True	42	D left	43	31	IGHD2-15
True	42	D right	43	31	IGHD2-15
True	42	J	43	62	IGHJ6
False	43	V	596	296	IGHV1-8
True	43	D left	596	31	IGHD3-9
True	43	D right	596	31	IGHD3-9
True	43	J	596	62	IGHJ6
True	44	V	53	296	IGHV5-51
True	44	D left	53	37	IGHD3-16
True	44	D right	53	37	IGHD3-16
True	44	J	53	50	IGHJ3
True	45	V	261	296	IGHV1-46
True	45	D left	261	31	IGHD3-3
True	45	D right	261	31	IGHD3-3
False	45	J	261	52	IGHJ1
True	46	V	41	296	IGHV3-23
True	46	D left	41	37	IGHD3-16
True	46	D right	41	37	IGHD3-16
True	46	J	41	48	IGHJ4
True	47	V	22	293	IGHV3-53
True	47	J	22	51	IGHJ5
False	48	V	14	296	IGHV1-69
True	48	D left	14	31	IGHD3-3
True	48	D right	14	31	IGHD3-3
True	48	J	14	51	IGHJ5
True	49	V	6	296	IGHV1-69
True	49	D left	6	31	IGHD2-15
True	49	D right	6	31	IGHD2-15
True	49	J	6	50	IGHJ3
False	50	V	137	296	IGHV3-21
True	50	D left	137	21	IGHD6-13
True	50	D right	137	21	IGHD6-13
True	50	J	137	48	IGHJ4
False	51	V	5	293	IGHV3-53
True	51	D left	5	31	IGHD3-10
True	51	D right	5	31	IGHD3-10
True	51	J	5	48	IGHJ4
True	52	V	2174	298	IGHV3-9
True	52	D left	2174	20	IGHD1-26
True	52	D right	2174	20	IGHD1-26
False	53	V	205	296	IGHV3-30
True	53	J	205	53	IGHJ2
False	54	V	352	296	IGHV3-23
True	54	D left	352	30	IGHD3-10
True	54	D right	352	30	IGHD3-10
True	54	J	352	51	IGHJ5
True	55	V	68	293	IGHV3-13
True	55	D left	68	21	IGHD6-19
True	55	D right	68	21	IGHD6-19
True	55	J	68	50	IGHJ3
False	56	V	227	296	IGHV1-69
True	56	D left	227	31	IGHD3-10
True	56	D right	227	31	IGHD3-10
True	56	J	227	62	IGHJ6
True	57	V	32	296	IGHV1-69
True	57	D left	32	37	IGHD3-16
True	57	D right	32	37	IGHD3-16
True	57	J	32	51	IGHJ5
True	58	V	5	296	IGHV3-30-3
True	58	D left	5	30	IGHD3-10
True	58	D right	5	30	IGHD3-10
True	58	J	5	62	IGHJ6
False	59	V	46	296	IGHV1-18
True	59	D left	46	30	IGHD3-10
True	59	D right	46	30	IGHD3-10
True	59	J	46	48	IGHJ4
True	60	V	13	298	IGHV3-9
True	60	D left	13	30	IGHD3-10
True	60	D right	13	30	IGHD3-10
True	60	J	13	51	IGHJ5
True	61	V	10	296	IGHV1-69
True	61	D left	10	31	IGHD3-3
True	61	D right	10	31	IGHD3-3
True	61	J	10	51	IGHJ5
False	62	V	12	294	IGHV3-30-3
True	62	D left	12	30	IGHD3-10
True	62	D right	12	30	IGHD3-10
True	62	J	12	48	IGHJ4
True	63	V	38	298	IGHV3-9
True	63	D left	38	20	IGHD1-26
True	63	D right	38	20	IGHD1-26
True	63	J	38	51	IGHJ5
True	64	V	892	296	IGHV1-69
True	64	D left	892	19	IGHD4-23
True	64	D right	892	19	IGHD4-23
True	65	V	13	298	IGHV3-9
True	65	D left	13	37	IGHD3-16
True	65	D right	13	37	IGHD3-16
True	65	J	13	48	IGHJ4
True	66	V	49	302	IGHV3-15
True	66	D left	49	37	IGHD3-16
True	66	D right	49	37	IGHD3-16
True	66	J	49	48	IGHJ4
True	67	V	207	296	IGHV7-4-1
True	67	D left	207	31	IGHD2-8
True	67	D right	207	31	IGHD2-8
True	67	J	207	50	IGHJ3
True	68	V	4872	296	IGHV1-69
True	68	D left	4872	28	IGHD2-21
True	68	D right	4872	28	IGHD2-21
True	69	V	9	298	IGHV3-9
True	69	D left	9	31	IGHD3-22
True	69	D right	9	31	IGHD3-22
True	69	J	9	48	IGHJ4
False	70	V	1822	296	IGHV3-21
True	70	D left	1822	21	IGHD6-19
True	70	D right	1822	21	IGHD6-19
True	70	J	1822	48	IGHJ4
True	71	V	73	302	IGHV3-72
True	71	D left	73	30	IGHD3-10
True	71	D right	73	30	IGHD3-10
True	71	J	73	51	IGHJ5
True	72	V	6	298	IGHV3-43
True	72	D left	6	28	IGHD2-21
True	72	D right	6	28	IGHD2-21
True	72	J	6	48	IGHJ4
True	73	V	31	296	IGHV3-23
True	73	D left	31	19	IGHD4/OR15-4b
True	73	D right	31	19	IGHD4/OR15-4b
True	73	J	31	48	IGHJ4
True	74	V	206	296	IGHV7-4-1
True	74	J	206	48	IGHJ4
True	75	V	100	296	IGHV3-74
True	75	D left	100	31	IGHD3-10
True	75	D right	100	31	IGHD3-10
True	75	J	100	62	IGHJ6
True	76	V	20	293	IGHV3-53
True	76	D left	20	31	IGHD3-3
True	76	D right	20	31	IGHD3-3
True	76	J	20	53	IGHJ2
True	77	V	6	296	IGHV3-21
True	77	D left	6	20	IGHD1-26
True	77	D right	6	20	IGHD1-26
True	77	J	6	48	IGHJ4
False	78	V	9	296	IGHV1-69
True	78	D left	9	21	IGHD6-13
True	78	D right	9	21	IGHD6-13
True	78	J	9	53	IGHJ2
False	79	V	63	296	IGHV1-18
True	79	D left	63	31	IGHD2-15
True	79	D right	63	31	IGHD2-15
True	79	J	63	48	IGHJ4
False	80	V	77	293	IGHV3-53
True	80	D left	77	17	IGHD1-7
True	80	D right	77	17	IGHD1-7
True	80	J	77	62	IGHJ6
False	81	V	123	296	IGHV1-24
True	81	D left	123	16	IGHD4-17
True	81	D right	123	16	IGHD4-17
True	82	V	21	296	IGHV1-18
True	82	D left	21	37	IGHD3-16
True	82	D right	21	37	IGHD3-16
True	82	J	21	62	IGHJ6
True	83	V	11	296	IGHV3-23
True	83	D left	11	31	IGHD2-2
True	83	D right	11	31	IGHD2-2
True	83	J	11	48	IGHJ4
False	84	V	46	296	IGHV3-30
True	84	D left	46	17	IGHD1-1
True	84	D right	46	17	IGHD1-1
True	84	J	46	48	IGHJ4
True	85	V	42	296	IGHV1-69
True	85	D left	42	37	IGHD3-16
True	85	D right	42	37	IGHD3-16
True	85	J	42	51	IGHJ5
True	86	V	10	299	IGHV4-39
True	86	D left	10	31	IGHD2-2
True	86	D right	10	31	IGHD2-2
True	86	J	10	48	IGHJ4
True	87	V	318	296	IGHV3-7
True	87	D left	318	28	IGHD2-21
True	87	D right	318	28	IGHD2-21
True	87	J	318	51	IGHJ5
False	88	V	69	291	IGHV4-59
True	88	D left	69	28	IGHD2-21
True	88	D right	69	28	IGHD2-21
True	88	J	69	50	IGHJ3
False	89	V	105	296	IGHV1-69
True	89	D left	105	31	IGHD3-22
False	89	D right	105	31	IGHD3-22
True	89	J	105	48	IGHJ4
True	90	V	494	294	IGHV1-f
False	90	D left	494	31	IGHD2-2
True	90	D right	494	31	IGHD2-2
True	90	J	494	51	IGHJ5
False	91	V	15	299	IGHV4-39
True	91	D left	15	31	IGHD3-3
True	91	D right	15	31	IGHD3-3
True	91	J	15	52	IGHJ1
True	92	V	719	305	IGHV6-1
True	92	D left	719	20	IGHD1-26
True	92	D right	719	20	IGHD1-26
True	93	V	37	296	IGHV3-21
True	93	D left	37	20	IGHD1-26
True	93	D right	37	20	IGHD1-26
True	93	J	37	50	IGHJ3
True	94	V	5	296	IGHV1-69
True	94	D left	5	31	IGHD3-3
True	94	D right	5	31	IGHD3-3
True	94	J	5	48	IGHJ4
True	95	V	39	296	IGHV3-30
True	95	D left	39	21	IGHD6-19
True	95	D right	39	21	IGHD6-19
False	95	J	39	50	IGHJ3
True	96	V	24	296	IGHV3-30
True	96	D left	24	20	IGHD1-26
True	96	D right	24	20	IGHD1-26
True	96	J	24	51	IGHJ5
True	97	V	13	296	IGHV1-8
True	97	D left	13	31	IGHD2/OR15-2b
True	97	D right	13	31	IGHD2/OR15-2b
True	97	J	13	51	IGHJ5
False	98	V	1982	299	IGHV4-61
True	98	D left	1982	21	IGHD6-19
True	98	D right	1982	21	IGHD6-19
True	98	J	1982	62	IGHJ6
False	99	V	74	298	IGHV3-9
False	99	D left	74	28	IGHD2-21
True	99	D right	74	28	IGHD2-21
True	99	J	74	50	IGHJ3
True	100	V	32	296	IGHV3-30
True	100	D left	32	30	IGHD3-10
True	100	D right	32	30	IGHD3-10
True	101	V	5	296	IGHV5-51
True	101	D left	5	31	IGHD2-15
True	101	D right	5	31	IGHD2-15
True	101	J	5	51	IGHJ5
True	102	V	29	296	IGHV3-23
True	102	D left	29	31	IGHD3-22
True	102	D right	29	31	IGHD3-22
True	102	J	29	50	IGHJ3
True	103	V	10	296	IGHV3-23
True	103	D left	10	19	IGHD4-23
True	103	D right	10	19	IGHD4-23
True	103	J	10	62	IGHJ6
True	104	V	76	293	IGHV3-53
True	104	D left	76	31	IGHD2-15
True	104	D right	76	31	IGHD2-15
True	104	J	76	48	IGHJ4
True	105	V	145	296	IGHV1-69
True	105	D left	145	31	IGHD2-2
True	105	D right	145	31	IGHD2-2
True	105	J	145	48	IGHJ4
False	106	V	25	296	IGHV3-23
False	106	D left	25	16	IGHD4-11
True	106	D right	25	16	IGHD4-11
False	106	J	25	51	IGHJ5
True	107	V	34	296	IGHV1-18
False	107	D left	34	17	IGHD1-1
True	107	D right	34	17	IGHD1-1
False	107	J	34	51	IGHJ5
True	108	V	94	296	IGHV1-24
True	108	D left	94	31	IGHD3-9
True	108	D right	94	31	IGHD3-9
True	108	J	94	51	IGHJ5
False	109	V	86	296	IGHV3-23
True	109	D left	86	30	IGHD3-10
True	109	D right	86	30	IGHD3-10
True	109	J	86	51	IGHJ5
True	110	V	6	296	IGHV1-69
True	110	D left	6	20	IGHD5-24
True	110	D right	6	20	IGHD5-24
True	110	J	6	48	IGHJ4
True	111	V	6	296	IGHV1-69
True	111	D left	6	31	IGHD3-9
True	111	D right	6	31	IGHD3-9
True	111	J	6	62	IGHJ6
False	112	V	330	296	IGHV7-4-1
True	112	D left	330	31	IGHD3-3
True	112	D right	330	31	IGHD3-3
False	112	J	330	48	IGHJ4
False	113	V	16	296	IGHV3-21
True	113	D left	16	23	IGHD5-12
True	113	D right	16	23	IGHD5-12
True	113	J	16	50	IGHJ3
False	114	V	8	293	IGHV4-59
True	114	D left	8	31	IGHD3-3
True	114	D right	8	31	IGHD3-3
True	114	J	8	48	IGHJ4
False	115	V	106	296	IGHV1-18
True	115	D left	106	17	IGHD1-7
True	115	D right	106	17	IGHD1-7
False	115	J	106	48	IGHJ4
True	116	V	932	298	IGHV3-9
True	116	D left	932	17	IGHD1-14
True	116	D right	932	17	IGHD1-14
True	116	J	932	62	IGHJ6
True	117	V	246	299	IGHV4-39
True	117	D left	246	31	IGHD2-8
True	117	D right	246	31	IGHD2-8
True	117	J	246	48	IGHJ4
False	118	V	405	291	IGHV3-66
True	118	D left	405	20	IGHD1-26
True	118	D right	405	20	IGHD1-26
True	118	J	405	48	IGHJ4
False	119	V	35	293	IGHV4-59
True	119	D left	35	30	IGHD3-10
False	119	D right	35	30	IGHD3-10
True	119	J	35	50	IGHJ3
False	120	V	40	296	IGHV1-69
True	120	D left	40	30	IGHD3-10
True	120	D right	40	30	IGHD3-10
True	120	J	40	51	IGHJ5
True	121	V	343	293	IGHV3-53
True	121	D left	343	23	IGHD5-12
True	121	D right	343	23	IGHD5-12
True	121	J	343	62	IGHJ6
False	122	V	14	296	IGHV5-51
True	122	D left	14	31	IGHD3-22
True	122	D right	14	31	IGHD3-22
True	122	J	14	48	IGHJ4
False	123	V	17	298	IGHV3-43
False	123	D left	17	20	IGHD1-26
True	123	D right	17	20	IGHD1-26
False	123	J	17	62	IGHJ6
True	124	V	262	296	IGHV1-3
True	124	D left	262	30	IGHD3-10
True	124	D right	262	30	IGHD3-10
True	124	J	262	48	IGHJ4
True	125	V	61	296	IGHV1-69
True	125	D left	61	20	IGHD5-24
True	125	D right	61	20	IGHD5-24
True	125	J	61	51	IGHJ5
True	126	V	41	296	IGHV1-3
True	126	D left	41	21	IGHD6-19
True	126	D right	41	21	IGHD6-19
True	126	J	41	51	IGHJ5
True	127	V	8	296	IGHV1-69
True	127	D left	8	19	IGHD4-23
True	127	D right	8	19	IGHD4-23
True	127	J	8	62	IGHJ6
True	128	V	15	296	IGHV1-69
True	128	D left	15	31	IGHD2-15
True	128	D right	15	31	IGHD2-15
True	128	J	15	53	IGHJ2
True	129	V	24	294	IGHV3-30-3
True	129	D left	24	20	IGHD1-26
True	129	D right	24	20	IGHD1-26
True	129	J	24	48	IGHJ4
False	130	V	21	296	IGHV1-69
True	130	D left	21	23	IGHD5-12
True	130	D right	21	23	IGHD5-12
False	130	J	21	50	IGHJ3
False	131	V	5	296	IGHV3-7
True	131	D left	5	28	IGHD2-21
True	131	D right	5	28	IGHD2-21
False	131	J	5	50	IGHJ3
False	132	V	206	294	IGHV3-30-3
True	132	D left	206	23	IGHD5/OR15-5b
True	132	D right	206	23	IGHD5/OR15-5b
True	132	J	206	48	IGHJ4
True	133	V	36	296	IGHV3-23
True	133	D left	36	21	IGHD6-19
False	133	D right	36	21	IGHD6-19
True	133	J	36	62	IGHJ6
False	134	V	6	296	IGHV3-7
True	134	D left	6	30	IGHD3-10
True	134	D right	6	30	IGHD3-10
True	134	J	6	48	IGHJ4
True	135	V	6	296	IGHV3-48
True	135	D left	6	37	IGHD3-16
True	135	D right	6	37	IGHD3-16
True	135	J	6	62	IGHJ6
True	136	V	203	296	IGHV1-69
True	136	D left	203	20	IGHD5-24
True	136	D right	203	20	IGHD5-24
False	136	J	203	50	IGHJ3
True	137	V	6	296	IGHV3-30
True	137	D left	6	17	IGHD1-7
True	137	D right	6	17	IGHD1-7
True	137	J	6	51	IGHJ5
True	138	V	141	296	IGHV1-24
True	138	D left	141	31	IGHD3-10
True	138	D right	141	31	IGHD3-10
True	138	J	141	51	IGHJ5
False	139	V	23	296	IGHV1-18
True	139	D left	23	31	IGHD3-3
True	139	D right	23	31	IGHD3-3
True	139	J	23	50	IGHJ3
False	140	V	100	296	IGHV3-30
True	140	D left	100	28	IGHD2-21
True	140	D right	100	28	IGHD2-21
True	141	V	17	296	IGHV1-69
True	141	D left	17	20	IGHD5-5
False	141	D right	17	20	IGHD5-5
False	141	J	17	50	IGHJ3
True	142	V	5844	294	IGHV1-69
True	142	D left	5844	31	IGHD3-9
True	142	D right	5844	31	IGHD3-9
True	143	V	26	296	IGHV7-4-1
True	143	D left	26	30	IGHD3-10
True	143	D right	26	30	IGHD3-10
True	143	J	26	51	IGHJ5
False	144	V	332	296	IGHV3-23
True	144	D left	332	30	IGHD3-10
True	144	D right	332	30	IGHD3-10
True	144	J	332	51	IGHJ5
True	145	V	39	296	IGHV1-69
True	145	D left	39	31	IGHD3-9
True	145	D right	39	31	IGHD3-9
True	145	J	39	48	IGHJ4
False	146	V	8	294	IGHV1-69
True	146	D left	8	37	IGHD3-16
True	146	D right	8	37	IGHD3-16
True	146	J	8	51	IGHJ5
True	147	V	40	296	IGHV3-30
True	147	D left	40	20	IGHD1-26
True	147	D right	40	20	IGHD1-26
True	147	J	40	48	IGHJ4
True	148	V	80	296	IGHV7-4-1
True	148	D left	80	31	IGHD3-9
True	148	D right	80	31	IGHD3-9
False	148	J	80	50	IGHJ3
True	149	V	43	298	IGHV3-9
True	149	D left	43	11	IGHD7-27
True	149	D right	43	11	IGHD7-27
False	149	J	43	48	IGHJ4
False	150	V	301	296	IGHV1-46
True	150	D left	301	20	IGHD1-26
True	150	D right	301	20	IGHD1-26
True	150	J	301	48	IGHJ4
True	151	V	1487	293	IGHV3-53
True	151	D left	1487	31	IGHD2-2
True	151	D right	1487	31	IGHD2-2
True	152	V	9	296	IGHV7-4-1
True	152	D left	9	23	IGHD5-12
True	152	D right	9	23	IGHD5-12
True	152	J	9	50	IGHJ3
False	153	V	53	296	IGHV1-18
True	153	D left	53	31	IGHD2-2
True	153	D right	53	31	IGHD2-2
True	153	J	53	50	IGHJ3
True	154	V	90	296	IGHV7-4-1
True	154	D left	90	31	IGHD2-15
True	154	D right	90	31	IGHD2-15
True	154	J	90	50	IGHJ3
True	155	V	93	296	IGHV1-69
True	155	D left	93	11	IGHD7-27
False	155	D right	93	11	IGHD7-27
True	155	J	93	62	IGHJ6
False	156	V	49	296	IGHV3-7
True	156	D left	49	31	IGHD3-22
True	156	D right	49	31	IGHD3-22
True	156	J	49	51	IGHJ5
True	157	V	17	296	IGHV3-74
True	157	D left	17	21	IGHD6-19
False	157	D right	17	21	IGHD6-19
True	157	J	17	53	IGHJ2
True	158	V	7	296	IGHV4-4
True	158	D left	7	31	IGHD3-10
True	158	D right	7	31	IGHD3-10
True	158	J	7	48	IGHJ4
True	159	V	23	296	IGHV3-7
True	159	D left	23	17	IGHD1-20
True	159	D right	23	17	IGHD1-20
True	159	J	23	48	IGHJ4
True	160	V	15	296	IGHV1-24
True	160	D left	15	30	IGHD3-10
True	160	D right	15	30	IGHD3-10
True	160	J	15	48	IGHJ4
True	161	V	22	296	IGHV3-11
True	161	D left	22	21	IGHD6-19
True	161	D right	22	21	IGHD6-19
True	161	J	22	51	IGHJ5
True	162	V	47	294	IGHV1-2
True	162	D left	47	31	IGHD3-9
True	162	D right	47	31	IGHD3-9
True	162	J	47	62	IGHJ6
False	163	V	15	296	IGHV7-4-1
True	163	D left	15	31	IGHD3-3
True	163	D right	15	31	IGHD3-3
False	163	J	15	48	IGHJ4
True	164	V	73	296	IGHV1-46
True	164	D left	73	16	IGHD4-17
True	164	D right	73	16	IGHD4-17
True	165	V	54	305	IGHV6-1
True	165	D left	54	37	IGHD3-16
True	165	D right	54	37	IGHD3-16
True	165	J	54	62	IGHJ6
True	166	V	1107	296	IGHV3-48
True	166	D left	1107	31	IGHD3-22
False	166	D right	1107	31	IGHD3-22
True	166	J	1107	48	IGHJ4
True	167	V	28	296	IGHV3-30
False	167	D left	28	21	IGHD6-19
True	167	D right	28	21	IGHD6-19
True	167	J	28	62	IGHJ6
False	168	V	9	296	IGHV3-74
True	168	D left	9	18	IGHD6-6
True	168	D right	9	18	IGHD6-6
True	168	J	9	48	IGHJ4
True	169	V	60	294	IGHV1-69
True	169	D left	60	31	IGHD3-9
True	169	D right	60	31	IGHD3-9
True	169	J	60	62	IGHJ6
False	170	V	79	291	IGHV3-66
True	170	D left	79	31	IGHD3-22
True	170	D right	79	31	IGHD3-22
True	170	J	79	62	IGHJ6
True	171	V	623	296	IGHV1-69
True	171	D left	623	37	IGHD3-16
True	171	D right	623	37	IGHD3-16
True	171	J	623	51	IGHJ5
True	172	V	23	296	IGHV3-30
True	172	D left	23	23	IGHD5-12
True	172	D right	23	23	IGHD5-12
True	172	J	23	48	IGHJ4
True	173	V	167	296	IGHV1-8
True	173	D left	167	20	IGHD1-26
True	173	D right	167	20	IGHD1-26
True	173	J	167	48	IGHJ4
False	174	V	42	296	IGHV1-69
True	174	D left	42	21	IGHD6-19
True	174	D right	42	21	IGHD6-19
True	174	J	42	62	IGHJ6
True	175	V	10	296	IGHV7-4-1
True	175	D left	10	31	IGHD3-10
True	175	D right	10	31	IGHD3-10
True	175	J	10	51	IGHJ5
True	176	V	51	293	IGHV3-53
True	176	D left	51	31	IGHD3-10
True	176	D right	51	31	IGHD3-10
True	176	J	51	51	IGHJ5
False	177	V	266	302	IGHV3-15
True	177	D left	266	20	IGHD1-26
True	177	D right	266	20	IGHD1-26
True	177	J	266	48	IGHJ4
False	178	V	57	296	IGHV7-4-1
True	178	D left	57	31	IGHD3-22
True	178	D right	57	31	IGHD3-22
True	178	J	57	48	IGHJ4
False	179	V	7	296	IGHV7-4-1
True	179	D left	7	37	IGHD3-16
True	179	D right	7	37	IGHD3-16
True	179	J	7	48	IGHJ4
False	180	V	95	296	IGHV7-4-1
True	180	D left	95	31	IGHD3-22
True	180	D right	95	31	IGHD3-22
True	180	J	95	51	IGHJ5
False	181	V	42	296	IGHV1-24
True	181	D left	42	37	IGHD3-16
True	181	D right	42	37	IGHD3-16
False	181	J	42	50	IGHJ3
False	182	V	315	299	IGHV4-39
False	182	D left	315	31	IGHD3-9
True	182	D right	315	31	IGHD3-9
True	182	J	315	62	IGHJ6
False	183	V	10	294	IGHV1-f
True	183	D left	10	31	IGHD3-22
True	183	D right	10	31	IGHD3-22
True	183	J	10	53	IGHJ2
True	184	V	43	296	IGHV1-69
True	184	D left	43	31	IGHD3-22
True	184	D right	43	31	IGHD3-22
True	184	J	43	48	IGHJ4
True	185	V	331	296	IGHV7-4-1
True	185	D left	331	21	IGHD6-13
True	185	D right	331	21	IGHD6-13
True	185	J	331	48	IGHJ4
True	186	V	41	296	IGHV1-69
True	186	D left	41	21	IGHD6-19
False	186	D right	41	21	IGHD6-19
True	186	J	41	48	IGHJ4
False	187	V	134	296	IGHV1-69
True	187	D left	134	11	IGHD7-27
True	187	D right	134	11	IGHD7-27
False	187	J	134	51	IGHJ5
False	188	V	331	296	IGHV3-23
True	188	D left	331	30	IGHD3-10
True	188	D right	331	30	IGHD3-10
True	188	J	331	51	IGHJ5
True	189	V	38	298	IGHV3-9
True	189	D left	38	21	IGHD6-19
True	189	D right	38	21	IGHD6-19
True	189	J	38	62	IGHJ6
False	190	V	28	296	IGHV1-69
True	190	D left	28	31	IGHD2-2
True	190	D right	28	31	IGHD2-2
True	190	J	28	48	IGHJ4
True	191	V	17	296	IGHV1-18
True	191	D left	17	23	IGHD5-12
True	191	D right	17	23	IGHD5-12
True	191	J	17	48	IGHJ4
True	192	V	43	296	IGHV3-30
True	192	D left	43	37	IGHD3-16
True	192	D right	43	37	IGHD3-16
True	192	J	43	48	IGHJ4
False	193	V	56	296	IGHV1-69
True	193	D left	56	31	IGHD3-22
False	193	D right	56	31	IGHD3-22
True	193	J	56	62	IGHJ6
True	194	V	8	298	IGHV3-9
True	194	D left	8	21	IGHD6-13
False	194	D right	8	21	IGHD6-13
True	194	J	8	48	IGHJ4
False	195	V	84	296	IGHV1-18
