Clavage	N	Type	abundance	gen_length	palindrome_len	perc_identity	subject_id
True	16	V	3594	296	0	100.0	IGHV1-69
True	17	V	12	296	0	100.0	IGHV3-48
True	17	D left	12	37	0	100.0	IGHD3-16
True	17	D right	12	37	0	100.0	IGHD3-16
True	17	J	12	62	0	97.56	IGHJ6
False	18	V	119	293	2	90.78	IGHV4-4
True	18	D left	119	30	0	100.0	IGHD3-10
True	18	D right	119	30	0	100.0	IGHD3-10
True	18	J	119	48	0	96.88	IGHJ4
True	19	V	179	293	2	98.26	IGHV4-59
True	19	D left	179	31	0	100.0	IGHD3-22
True	19	D right	179	31	0	100.0	IGHD3-22
False	19	J	179	48	1	96.15	IGHJ4
True	20	V	184	299	0	90.06	IGHV4-30-4
True	20	D left	184	20	0	100.0	IGHD5-24
True	20	D right	184	20	0	100.0	IGHD5-24
False	21	V	23	294	0	99.66	IGHV4-b
True	21	D left	23	31	0	94.44	IGHD2-8
True	21	D right	23	31	0	94.44	IGHD2-8
True	21	J	23	62	1	100.0	IGHJ6
True	22	V	69	301	0	98.32	IGHV2-26
True	22	D left	69	31	0	100.0	IGHD3-22
False	22	D right	69	31	0	100.0	IGHD3-22
True	22	J	69	62	0	100.0	IGHJ6
True	23	V	37	299	0	98.66	IGHV4-39
True	23	D left	37	31	0	100.0	IGHD2-2
True	23	D right	37	31	0	100.0	IGHD2-2
True	23	J	37	62	0	98.18	IGHJ6
True	24	V	2344	296	0	100.0	IGHV1-8
True	25	V	310	293	1	89.69	IGHV4-59
True	25	D left	310	21	0	100.0	IGHD6-19
True	25	D right	310	21	0	100.0	IGHD6-19
True	26	V	7845	296	0	100.0	IGHV1-69
False	27	V	291	299	1	93.31	IGHV4-39
True	27	D left	291	16	1	100.0	IGHD4-17
True	27	D right	291	16	0	100.0	IGHD4-17
True	27	J	291	48	1	100.0	IGHJ4
False	28	V	31	296	0	99.66	IGHV5-51
True	28	D left	31	21	0	100.0	IGHD6-19
False	28	D right	31	21	0	100.0	IGHD6-19
True	28	J	31	62	0	100.0	IGHJ6
False	29	V	51	294	0	100.0	IGHV1-2
False	29	D left	51	31	2	100.0	IGHD3-9
True	29	D right	51	31	0	100.0	IGHD3-9
True	29	J	51	62	0	100.0	IGHJ6
True	30	V	72	296	0	100.0	IGHV5-51
True	30	D left	72	31	0	100.0	IGHD3-3
True	30	D right	72	31	0	100.0	IGHD3-3
True	30	J	72	62	0	100.0	IGHJ6
False	31	V	160	294	0	94.56	IGHV4-b
True	31	J	160	48	1	100.0	IGHJ4
True	32	V	433	296	0	94.88	IGHV3-48
True	32	D left	433	28	0	100.0	IGHD2-21
True	32	D right	433	28	0	100.0	IGHD2-21
True	33	V	98	293	0	95.88	IGHV4-34
True	33	D left	98	20	0	100.0	IGHD1-26
True	33	D right	98	20	0	100.0	IGHD1-26
True	33	J	98	48	1	96.43	IGHJ4
False	34	V	130	296	0	98.65	IGHV3-74
True	34	D left	130	20	2	92.86	IGHD5-5
True	34	D right	130	20	2	92.86	IGHD5-5
True	34	J	130	48	0	100.0	IGHJ4
True	35	V	5095	296	0	100.0	IGHV1-18
True	36	V	10	302	0	99.0	IGHV3-49
False	36	D left	10	20	2	100.0	IGHD5-5
True	36	D right	10	20	0	100.0	IGHD5-5
True	36	J	10	48	1	97.56	IGHJ4
True	37	V	62	293	1	97.6	IGHV4-34
True	37	D left	62	21	2	100.0	IGHD6-19
True	37	D right	62	21	1	100.0	IGHD6-19
True	37	J	62	48	0	100.0	IGHJ4
True	38	V	8	296	2	100.0	IGHV3-23
True	38	D left	8	31	0	100.0	IGHD3-10
True	38	D right	8	31	0	100.0	IGHD3-10
True	38	J	8	48	0	100.0	IGHJ4
False	39	V	13	293	2	100.0	IGHV3-66
False	39	D left	13	31	0	100.0	IGHD3-22
True	39	D right	13	31	1	100.0	IGHD3-22
True	39	J	13	51	0	100.0	IGHJ5
False	40	V	40	296	0	98.65	IGHV3-48
True	40	D left	40	31	1	100.0	IGHD2-2
True	40	D right	40	31	0	100.0	IGHD2-2
True	40	J	40	62	1	100.0	IGHJ6
True	41	V	25	298	0	92.76	IGHV3-43
True	41	D left	25	31	0	100.0	IGHD3-22
True	41	D right	25	31	1	100.0	IGHD3-22
True	41	J	25	62	0	97.37	IGHJ6
True	42	V	71	296	1	100.0	IGHV3-30
True	42	D left	71	31	1	100.0	IGHD2-2
True	42	D right	71	31	0	100.0	IGHD2-2
True	42	J	71	62	0	100.0	IGHJ6
True	43	V	11	293	0	100.0	IGHV4-34
True	43	D left	11	31	0	100.0	IGHD2-15
True	43	D right	11	31	0	100.0	IGHD2-15
False	43	J	11	48	1	100.0	IGHJ4
True	44	V	320	296	1	82.37	IGHV3-33
False	44	D left	320	19	2	100.0	IGHD4/OR15-4b
True	44	D right	320	19	0	100.0	IGHD4/OR15-4b
True	44	J	320	48	0	100.0	IGHJ4
False	45	V	33	294	3	95.92	IGHV4-b
True	45	J	33	48	0	96.43	IGHJ4
True	46	V	12	296	0	100.0	IGHV5-51
True	46	D left	12	21	0	100.0	IGHD6-19
True	46	D right	12	21	0	100.0	IGHD6-19
False	46	J	12	48	2	100.0	IGHJ4
False	47	V	73	293	1	100.0	IGHV4-34
True	47	D left	73	31	1	100.0	IGHD3-9
True	47	D right	73	31	0	100.0	IGHD3-9
True	47	J	73	62	1	100.0	IGHJ6
True	48	V	24	296	0	100.0	IGHV1-69
True	48	D left	24	18	0	100.0	IGHD6-6
True	48	D right	24	18	2	100.0	IGHD6-6
True	48	J	24	51	0	100.0	IGHJ5
True	49	V	23	293	0	100.0	IGHV4-34
True	49	D left	23	20	0	100.0	IGHD1-26
True	49	D right	23	20	0	100.0	IGHD1-26
True	49	J	23	48	0	100.0	IGHJ4
False	50	V	20	296	1	100.0	IGHV3-7
True	50	D left	20	21	0	100.0	IGHD6-13
False	50	D right	20	21	0	100.0	IGHD6-13
False	50	J	20	51	0	100.0	IGHJ5
True	51	V	668	294	0	97.27	IGHV4-b
True	51	D left	668	31	0	92.0	IGHD2-2
True	51	D right	668	31	0	92.0	IGHD2-2
False	51	J	668	48	0	100.0	IGHJ4
False	52	V	46	293	0	95.56	IGHV4-34
True	52	D left	46	28	0	100.0	IGHD2-21
True	52	D right	46	28	1	100.0	IGHD2-21
True	53	V	40	296	0	99.32	IGHV3-23
True	53	D left	40	19	1	100.0	IGHD4-23
True	53	D right	40	19	1	100.0	IGHD4-23
False	53	J	40	48	0	97.5	IGHJ4
True	54	V	28	294	0	100.0	IGHV3-30-3
True	54	D left	28	21	0	100.0	IGHD6-19
False	54	D right	28	21	0	100.0	IGHD6-19
True	54	J	28	51	1	100.0	IGHJ5
True	55	V	117	298	0	89.76	IGHV3-43
True	55	D left	117	31	0	100.0	IGHD2-15
True	55	D right	117	31	1	100.0	IGHD2-15
True	55	J	117	51	0	91.67	IGHJ5
True	56	V	30	296	0	87.37	IGHV1-3
True	56	D left	30	30	0	100.0	IGHD3-10
True	56	D right	30	30	0	100.0	IGHD3-10
False	57	V	17	294	0	100.0	IGHV1-2
True	57	D left	17	21	0	100.0	IGHD6-19
False	57	D right	17	21	1	100.0	IGHD6-19
False	57	J	17	48	3	100.0	IGHJ4
True	58	V	890	305	0	100.0	IGHV6-1
True	58	D left	890	23	0	100.0	IGHD5-12
True	58	D right	890	23	0	100.0	IGHD5-12
True	58	J	890	48	0	100.0	IGHJ4
False	59	V	198	296	1	91.55	IGHV3-30
True	59	D left	198	31	0	100.0	IGHD3-3
True	59	D right	198	31	0	100.0	IGHD3-3
True	59	J	198	62	0	93.55	IGHJ6
False	60	V	41	296	0	100.0	IGHV5-51
True	60	D left	41	31	0	100.0	IGHD3-9
True	60	D right	41	31	0	100.0	IGHD3-9
True	60	J	41	62	0	100.0	IGHJ6
True	61	V	22	296	0	100.0	IGHV1-69
True	61	D left	22	31	0	100.0	IGHD3-3
True	61	D right	22	31	0	100.0	IGHD3-3
True	61	J	22	51	0	100.0	IGHJ5
True	62	V	21	296	0	98.64	IGHV3-48
True	62	D left	21	31	0	100.0	IGHD3-3
True	62	D right	21	31	3	100.0	IGHD3-3
True	62	J	21	62	0	100.0	IGHJ6
True	63	V	18	302	0	98.01	IGHV3-49
True	63	D left	18	20	0	100.0	IGHD1-26
True	63	D right	18	20	1	100.0	IGHD1-26
True	63	J	18	48	1	100.0	IGHJ4
True	64	V	780	293	0	97.32	IGHV3-53
False	65	V	21	296	2	100.0	IGHV3-30
True	65	D left	21	21	0	100.0	IGHD6-13
False	65	D right	21	21	0	100.0	IGHD6-13
True	65	J	21	48	0	100.0	IGHJ4
False	66	V	7	296	2	97.64	IGHV3-23
True	66	D left	7	18	0	100.0	IGHD6-6
True	66	D right	7	18	0	100.0	IGHD6-6
True	66	J	7	48	0	97.3	IGHJ4
True	67	V	137	298	0	89.9	IGHV3-9
True	67	D left	137	31	1	100.0	IGHD3-3
True	67	D right	137	31	0	100.0	IGHD3-3
True	67	J	137	51	0	100.0	IGHJ5
True	68	V	68	299	1	100.0	IGHV4-39
True	68	D left	68	31	1	100.0	IGHD3-3
True	68	D right	68	31	0	100.0	IGHD3-3
True	68	J	68	48	0	100.0	IGHJ4
True	69	V	42	296	2	100.0	IGHV3-21
True	69	D left	42	31	0	100.0	IGHD2-15
True	69	D right	42	31	0	100.0	IGHD2-15
True	69	J	42	48	0	100.0	IGHJ4
False	70	V	689	296	1	90.2	IGHV1-3
True	70	D left	689	20	0	100.0	IGHD5-24
True	70	D right	689	20	0	100.0	IGHD5-24
True	71	V	5	296	0	84.41	IGHV3-48
True	71	D left	5	31	0	88.46	IGHD3-10
True	71	D right	5	31	0	88.46	IGHD3-10
True	71	J	5	48	0	96.97	IGHJ4
True	72	V	14	296	2	94.9	IGHV3-48
True	72	D left	14	31	0	100.0	IGHD3-22
True	72	D right	14	31	0	100.0	IGHD3-22
True	72	J	14	48	0	100.0	IGHJ4
True	73	V	7	296	2	100.0	IGHV1-69
True	73	D left	7	30	1	100.0	IGHD3-10
True	73	D right	7	30	0	100.0	IGHD3-10
True	73	J	7	51	0	100.0	IGHJ5
True	74	V	57	299	0	90.91	IGHV4-31
True	74	D left	57	18	0	100.0	IGHD6-6
True	74	D right	57	18	0	100.0	IGHD6-6
True	74	J	57	51	0	100.0	IGHJ5
True	75	V	3595	296	0	100.0	IGHV1-2
True	76	V	9	296	0	86.69	IGHV1-18
True	76	D left	9	28	0	100.0	IGHD2-21
True	76	D right	9	28	0	100.0	IGHD2-21
True	76	J	9	51	0	100.0	IGHJ5
True	77	V	187	296	0	89.04	IGHV1-45
True	78	V	47	297	0	96.61	IGHV2-5
False	78	D left	47	19	0	100.0	IGHD4/OR15-4b
True	78	D right	47	19	0	100.0	IGHD4/OR15-4b
True	78	J	47	48	0	100.0	IGHJ4
True	79	V	54	293	2	100.0	IGHV4-59
True	79	D left	54	23	0	100.0	IGHD5-12
True	79	D right	54	23	0	100.0	IGHD5-12
True	79	J	54	48	0	100.0	IGHJ4
False	80	V	42	293	0	100.0	IGHV4-34
True	80	D left	42	31	0	100.0	IGHD3-3
True	80	D right	42	31	0	100.0	IGHD3-3
True	80	J	42	62	0	100.0	IGHJ6
False	81	V	31	294	0	100.0	IGHV4-b
True	81	D left	31	31	0	100.0	IGHD3-3
True	81	D right	31	31	0	100.0	IGHD3-3
True	81	J	31	48	0	100.0	IGHJ4
True	82	V	59	296	1	100.0	IGHV5-51
True	82	D left	59	16	0	100.0	IGHD4-17
False	82	D right	59	16	0	100.0	IGHD4-17
False	82	J	59	53	0	100.0	IGHJ2
True	83	V	54	296	0	89.0	IGHV1-2
True	83	D left	54	30	0	100.0	IGHD3-10
True	83	D right	54	30	0	100.0	IGHD3-10
True	83	J	54	62	0	100.0	IGHJ6
True	84	V	255	293	0	97.95	IGHV4-34
True	84	D left	255	21	1	100.0	IGHD6-19
True	84	D right	255	21	1	100.0	IGHD6-19
True	84	J	255	51	0	100.0	IGHJ5
False	85	V	12	302	1	93.71	IGHV3-49
True	85	D left	12	37	1	100.0	IGHD3-16
True	85	D right	12	37	0	100.0	IGHD3-16
True	85	J	12	48	1	100.0	IGHJ4
True	86	V	471	293	0	88.28	IGHV4-4
True	86	D left	471	11	0	100.0	IGHD7-27
False	86	D right	471	11	0	100.0	IGHD7-27
True	87	V	396	299	0	86.33	IGHV4-30-4
True	88	V	12	296	0	100.0	IGHV3-48
True	88	D left	12	20	0	100.0	IGHD5-24
True	88	D right	12	20	0	100.0	IGHD5-24
True	88	J	12	48	2	100.0	IGHJ4
True	89	V	29	293	0	97.26	IGHV4-34
True	89	D left	29	16	0	100.0	IGHD4-17
True	89	D right	29	16	0	100.0	IGHD4-17
True	89	J	29	62	0	100.0	IGHJ6
False	90	V	7	296	4	100.0	IGHV1-46
True	90	D left	7	20	0	100.0	IGHD5-5
True	90	D right	7	20	0	100.0	IGHD5-5
True	90	J	7	62	1	97.37	IGHJ6
False	91	V	407	296	0	95.61	IGHV5-51
True	91	D left	407	18	0	100.0	IGHD6-6
False	91	D right	407	18	2	100.0	IGHD6-6
True	91	J	407	51	1	100.0	IGHJ5
False	92	V	21	296	0	98.99	IGHV3-30
True	92	D left	21	20	0	100.0	IGHD5-5
False	92	D right	21	20	0	100.0	IGHD5-5
True	92	J	21	62	0	100.0	IGHJ6
True	93	V	7	296	0	100.0	IGHV1-69
True	93	D left	7	31	0	100.0	IGHD3-22
True	93	D right	7	31	0	100.0	IGHD3-22
False	93	J	7	48	1	100.0	IGHJ4
True	94	V	35	296	1	97.96	IGHV3-48
True	94	D left	35	16	1	100.0	IGHD4-17
True	94	D right	35	16	0	100.0	IGHD4-17
False	95	V	282	296	0	98.99	IGHV1-18
True	95	D left	282	19	0	100.0	IGHD4-23
True	95	D right	282	19	1	100.0	IGHD4-23
True	95	J	282	62	0	100.0	IGHJ6
False	96	V	15	299	0	99.67	IGHV4-39
False	96	D left	15	20	0	100.0	IGHD5-5
True	96	D right	15	20	0	100.0	IGHD5-5
True	96	J	15	48	1	100.0	IGHJ4
False	97	V	8	294	0	100.0	IGHV3-30-3
False	97	D left	8	21	5	100.0	IGHD6-13
True	97	D right	8	21	0	100.0	IGHD6-13
True	97	J	8	48	1	97.37	IGHJ4
False	98	V	154	294	0	89.46	IGHV4-b
True	98	D left	154	28	0	100.0	IGHD2-21
True	98	D right	154	28	0	100.0	IGHD2-21
True	98	J	154	62	0	94.44	IGHJ6
True	99	V	29	299	1	97.97	IGHV4-39
True	99	D left	29	16	0	100.0	IGHD4-17
True	99	D right	29	16	0	100.0	IGHD4-17
True	100	V	91	299	0	96.63	IGHV4-39
True	100	D left	91	21	0	100.0	IGHD6-13
True	100	D right	91	21	0	100.0	IGHD6-13
True	100	J	91	48	2	100.0	IGHJ4
True	101	V	107	298	0	95.25	IGHV3-9
True	101	D left	107	31	0	100.0	IGHD3/OR15-3b
True	101	D right	107	31	0	100.0	IGHD3/OR15-3b
True	102	V	19	305	0	91.42	IGHV6-1
True	102	D left	19	37	0	100.0	IGHD3-16
True	102	D right	19	37	0	100.0	IGHD3-16
True	102	J	19	51	0	94.87	IGHJ5
False	103	V	54	299	1	100.0	IGHV4-39
True	103	D left	54	21	0	100.0	IGHD6-19
True	103	D right	54	21	0	100.0	IGHD6-19
True	103	J	54	48	0	100.0	IGHJ4
True	104	V	7	296	0	93.2	IGHV3-30
True	104	D left	7	17	0	100.0	IGHD1-7
True	104	D right	7	17	0	100.0	IGHD1-7
True	104	J	7	48	0	97.06	IGHJ4
True	105	V	461	296	1	96.58	IGHV3-48
True	105	D left	461	28	1	100.0	IGHD2-21
True	105	D right	461	28	0	100.0	IGHD2-21
True	106	V	19	293	0	100.0	IGHV4-34
True	106	D left	19	20	0	100.0	IGHD5-5
True	106	D right	19	20	0	100.0	IGHD5-5
False	106	J	19	48	1	97.3	IGHJ4
True	107	V	45	296	0	93.56	IGHV1-46
True	107	D left	45	20	0	100.0	IGHD1-26
True	107	D right	45	20	2	100.0	IGHD1-26
True	107	J	45	48	1	100.0	IGHJ4
False	108	V	842	296	1	91.22	IGHV1-18
True	108	D left	842	31	0	100.0	IGHD2-8
True	108	D right	842	31	0	100.0	IGHD2-8
True	108	J	842	48	0	100.0	IGHJ4
True	109	V	1140	293	0	95.55	IGHV4-34
True	109	D left	1140	31	0	100.0	IGHD2-8
True	109	D right	1140	31	1	100.0	IGHD2-8
True	110	V	50	296	1	91.86	IGHV1-24
True	110	D left	50	17	0	100.0	IGHD1-7
True	110	D right	50	17	0	100.0	IGHD1-7
True	110	J	50	48	0	100.0	IGHJ4
False	111	V	43	296	0	94.26	IGHV1-18
True	111	D left	43	17	0	100.0	IGHD1-14
False	111	D right	43	17	0	100.0	IGHD1-14
True	111	J	43	62	0	100.0	IGHJ6
True	112	V	162	299	0	84.41	IGHV4-39
True	112	D left	162	28	0	100.0	IGHD2-21
True	112	D right	162	28	0	100.0	IGHD2-21
True	112	J	162	48	1	96.77	IGHJ4
False	113	V	67	296	2	95.61	IGHV1-46
True	113	D left	67	20	0	100.0	IGHD1-26
True	113	D right	67	20	0	100.0	IGHD1-26
True	113	J	67	51	0	97.37	IGHJ5
True	114	V	15	296	0	97.29	IGHV5-51
True	114	D left	15	11	0	100.0	IGHD7-27
False	114	D right	15	11	0	100.0	IGHD7-27
True	114	J	15	62	0	97.87	IGHJ6
True	115	V	7	296	2	100.0	IGHV1-18
True	115	D left	7	20	1	100.0	IGHD1-26
True	115	D right	7	20	0	100.0	IGHD1-26
True	115	J	7	48	0	100.0	IGHJ4
False	116	V	37	296	0	81.08	IGHV3-23
True	116	D left	37	21	0	100.0	IGHD6-13
False	116	D right	37	21	0	100.0	IGHD6-13
False	116	J	37	62	0	98.15	IGHJ6
True	117	V	347	296	0	97.27	IGHV1-2
False	117	D left	347	17	0	100.0	IGHD1-1
True	117	D right	347	17	0	100.0	IGHD1-1
True	117	J	347	48	0	100.0	IGHJ4
True	118	V	32	299	0	86.02	IGHV4-39
False	119	V	21	299	1	100.0	IGHV4-39
True	119	D left	21	20	0	100.0	IGHD5-5
True	119	D right	21	20	0	100.0	IGHD5-5
False	119	J	21	53	0	100.0	IGHJ2
True	120	V	12	296	0	100.0	IGHV1-8
True	120	D left	12	20	1	100.0	IGHD1-26
True	120	D right	12	20	1	100.0	IGHD1-26
False	120	J	12	62	1	100.0	IGHJ6
True	121	V	10	294	0	96.85	IGHV4-b
True	121	D left	10	31	0	92.0	IGHD2-2
True	121	D right	10	31	0	92.0	IGHD2-2
False	121	J	10	48	0	97.62	IGHJ4
False	122	V	23	296	0	100.0	IGHV3-23
True	122	D left	23	20	0	100.0	IGHD5-5
True	122	D right	23	20	2	100.0	IGHD5-5
True	122	J	23	62	0	100.0	IGHJ6
False	123	V	12	296	0	100.0	IGHV1-18
False	123	D left	12	21	0	100.0	IGHD6-19
True	123	D right	12	21	1	100.0	IGHD6-19
True	123	J	12	62	0	100.0	IGHJ6
True	124	V	9	296	1	100.0	IGHV3-23
True	124	D left	9	31	0	100.0	IGHD3-3
True	124	D right	9	31	0	100.0	IGHD3-3
True	124	J	9	48	0	100.0	IGHJ4
False	125	V	28	296	0	100.0	IGHV3-33
True	125	D left	28	31	0	100.0	IGHD2-15
True	125	D right	28	31	2	100.0	IGHD2-15
True	125	J	28	48	0	100.0	IGHJ4
True	126	V	550	296	0	94.12	IGHV3-11
True	127	V	31	296	0	99.66	IGHV1-8
True	127	J	31	48	1	100.0	IGHJ4
True	128	V	64	299	0	91.25	IGHV4-39
True	128	D left	64	20	0	100.0	IGHD1-26
True	128	D right	64	20	3	100.0	IGHD1-26
True	128	J	64	62	0	97.87	IGHJ6
False	129	V	132	296	2	83.78	IGHV3-30
True	129	D left	132	30	1	100.0	IGHD3-10
True	129	D right	132	30	0	100.0	IGHD3-10
True	129	J	132	48	1	100.0	IGHJ4
True	130	V	46	296	1	100.0	IGHV1-3
False	130	D left	46	31	0	100.0	IGHD3-3
True	130	D right	46	31	0	100.0	IGHD3-3
True	130	J	46	51	0	100.0	IGHJ5
False	131	V	10	299	0	100.0	IGHV4-39
True	131	D left	10	37	0	100.0	IGHD3-16
True	131	D right	10	37	0	100.0	IGHD3-16
True	131	J	10	48	1	97.56	IGHJ4
True	132	V	6	298	0	100.0	IGHV3-9
True	132	D left	6	21	0	100.0	IGHD6-19
True	132	D right	6	21	0	100.0	IGHD6-19
True	132	J	6	62	0	100.0	IGHJ6
False	133	V	58	294	0	97.28	IGHV4-b
True	133	D left	58	31	0	100.0	IGHD2-2
True	133	D right	58	31	0	100.0	IGHD2-2
False	133	J	58	48	0	100.0	IGHJ4
False	134	V	237	293	0	92.83	IGHV4-34
True	134	D left	237	17	0	100.0	IGHD1-7
False	134	D right	237	17	0	100.0	IGHD1-7
True	134	J	237	62	0	100.0	IGHJ6
False	135	V	14	293	0	99.66	IGHV3-53
True	135	D left	14	16	0	100.0	IGHD4-17
False	135	D right	14	16	0	100.0	IGHD4-17
True	135	J	14	48	1	100.0	IGHJ4
False	136	V	9	296	1	100.0	IGHV3-30
False	136	D left	9	31	4	100.0	IGHD3-22
True	136	D right	9	31	0	100.0	IGHD3-22
False	136	J	9	48	1	100.0	IGHJ4
True	137	V	77	296	0	93.1	IGHV1-69
True	137	D left	77	31	0	95.24	IGHD3-22
True	137	D right	77	31	0	95.24	IGHD3-22
False	138	V	12	299	2	100.0	IGHV4-39
True	138	D left	12	21	0	100.0	IGHD6-13
True	138	D right	12	21	1	100.0	IGHD6-13
True	138	J	12	48	0	100.0	IGHJ4
True	139	V	45	294	0	97.27	IGHV4-b
True	139	D left	45	20	0	100.0	IGHD5-24
True	139	D right	45	20	0	100.0	IGHD5-24
False	139	J	45	51	1	100.0	IGHJ5
True	140	V	348	296	0	95.93	IGHV1-3
True	140	D left	348	21	0	100.0	IGHD6-19
True	140	D right	348	21	0	100.0	IGHD6-19
True	141	V	21	293	0	97.25	IGHV4-34
True	141	D left	21	31	1	100.0	IGHD2-8
True	141	D right	21	31	0	100.0	IGHD2-8
False	141	J	21	51	2	95.56	IGHJ5
False	142	V	632	296	0	93.24	IGHV1-69
True	142	D left	632	19	0	100.0	IGHD4-23
False	142	D right	632	19	0	100.0	IGHD4-23
True	143	V	280	301	0	94.44	L21
True	143	D left	280	28	0	100.0	IGHD2-21
True	143	D right	280	28	0	100.0	IGHD2-21
True	143	J	280	52	0	100.0	IGHJ1
True	144	V	181	293	0	90.56	IGHV3-53
True	145	V	28	301	0	99.67	IGHV2-26
True	145	D left	28	16	0	100.0	IGHD4-17
False	145	D right	28	16	2	100.0	IGHD4-17
True	145	J	28	62	0	100.0	IGHJ6
True	146	V	381	299	2	91.25	IGHV4-30-2
True	146	D left	381	20	1	100.0	IGHD1-26
True	146	D right	381	20	0	100.0	IGHD1-26
True	146	J	381	62	0	100.0	IGHJ6
True	147	V	154	299	2	100.0	IGHV4-30-2
True	147	D left	154	31	2	100.0	IGHD3-22
True	147	D right	154	31	0	100.0	IGHD3-22
False	147	J	154	48	3	100.0	IGHJ4
True	148	V	120	296	0	93.49	IGHV3-23
True	148	D left	120	31	0	100.0	IGHD2-8
True	148	D right	120	31	0	100.0	IGHD2-8
True	148	J	120	48	1	100.0	IGHJ4
False	149	V	25	299	0	100.0	IGHV4-39
True	149	D left	25	21	0	100.0	IGHD6-13
True	149	D right	25	21	0	100.0	IGHD6-13
True	149	J	25	51	3	100.0	IGHJ5
True	150	V	8	296	1	100.0	IGHV3-21
False	150	D left	8	20	2	100.0	IGHD5-5
True	150	D right	8	20	0	100.0	IGHD5-5
True	150	J	8	48	0	100.0	IGHJ4
True	151	V	37	296	0	91.19	IGHV1-58
True	151	D left	37	20	0	100.0	IGHD1-26
True	151	D right	37	20	0	100.0	IGHD1-26
True	151	J	37	48	0	100.0	IGHJ4
False	152	V	43	293	2	100.0	IGHV4-34
True	152	D left	43	21	0	100.0	IGHD6-19
True	152	D right	43	21	0	100.0	IGHD6-19
False	153	V	30	293	1	98.29	IGHV4-59
True	153	D left	30	31	0	96.15	IGHD3-22
True	153	D right	30	31	0	96.15	IGHD3-22
True	153	J	30	51	1	100.0	IGHJ5
True	154	V	12	293	0	100.0	IGHV4-34
True	154	D left	12	31	0	100.0	IGHD3-9
True	154	D right	12	31	0	100.0	IGHD3-9
True	154	J	12	51	0	100.0	IGHJ5
True	155	V	441	296	0	99.66	IGHV3-74
True	155	D left	441	19	0	100.0	IGHD4-23
True	155	D right	441	19	1	100.0	IGHD4-23
True	156	V	13	293	0	100.0	IGHV3-66
False	156	D left	13	31	1	100.0	IGHD3-22
False	156	D right	13	31	0	100.0	IGHD3-22
False	156	J	13	62	1	100.0	IGHJ6
False	157	V	40	299	1	99.33	IGHV4-30-4
False	157	D left	40	31	0	100.0	IGHD3-22
True	157	D right	40	31	0	100.0	IGHD3-22
True	157	J	40	51	0	100.0	IGHJ5
True	158	V	25	293	1	97.95	IGHV4-59
